import time: self [us] | cumulative | imported package
import time:       128 |      14512 |               email_validator.validate_email
import time:        91 |         91 |               email_validator.version
import time:       165 |      15031 |             email_validator
import time:        98 |         98 |               importlib.metadata._text
import time:       187 |        285 |             importlib.metadata._adapters
import time:       475 |        475 |               email.feedparser
import time:       172 |        647 |             email.parser
import time:     57508 |      77086 |           fastapi.openapi.models
import time:      1777 |     165459 |         fastapi.params
import time:       240 |        240 |         fastapi.datastructures
import time:       109 |        109 |           fastapi.dependencies
import time:        76 |         76 |                 fastapi.security.base
import time:       815 |        815 |                   http.cookies
import time:       335 |        335 |                   starlette._utils
import time:       149 |        149 |                           python_multipart.exceptions
import time:       170 |        318 |                         python_multipart.decoders
import time:       725 |       1043 |                       python_multipart.multipart
import time:       117 |       1160 |                     python_multipart
import time:       782 |       1942 |                   starlette.formparsers
import time:       369 |       3459 |                 starlette.requests
import time:       221 |       3755 |               fastapi.security.api_key
import time:        76 |         76 |                 fastapi.security.utils
import time:      1046 |       1122 |               fastapi.security.http
import time:       176 |        176 |                 fastapi.param_functions
import time:       279 |        454 |               fastapi.security.oauth2
import time:       134 |        134 |               fastapi.security.open_id_connect_url
import time:       134 |       5597 |             fastapi.security
import time:        28 |       5625 |           fastapi.security.base
import time:      1088 |       6820 |         fastapi.dependencies.models
import time:        98 |         98 |             starlette.background
import time:       108 |        205 |           fastapi.background
import time:        94 |         94 |           fastapi.concurrency
import time:       115 |        115 |           fastapi.utils
import time:       888 |        888 |               _hashlib
import time:       136 |        136 |               _blake2
import time:       181 |       1204 |             hashlib
import time:        45 |         45 |               _winapi
import time:        38 |         38 |               winreg
import time:       294 |        376 |             mimetypes
import time:       134 |        134 |                 _hmac
import time:       167 |        300 |               hmac
import time:       109 |        408 |             secrets
import time:       357 |       2343 |           starlette.responses
import time:       305 |        305 |           starlette.websockets
import time:      1092 |       4152 |         fastapi.dependencies.utils
import time:        92 |         92 |             colorsys
import time:       372 |        463 |           pydantic.color
import time:       200 |        662 |         fastapi.encoders
import time:      1201 |       1201 |         fastapi.sse
import time:        98 |         98 |           starlette._exception_handler
import time:       256 |        256 |           starlette.convertors
import time:       192 |        192 |           starlette.middleware
import time:       693 |       1238 |         starlette.routing
import time:       778 |     248308 |       fastapi.routing
import time:        72 |         72 |         fastapi.websockets
import time:       114 |        185 |       fastapi.exception_handlers
import time:        75 |         75 |         fastapi.middleware
import time:       146 |        221 |       fastapi.middleware.asyncexitstack
import time:       109 |        109 |       fastapi.openapi.docs
import time:       722 |        722 |         http.client
import time:        44 |         44 |           ujson
import time:        38 |         38 |           orjson
import time:       185 |        266 |         fastapi.responses
import time:       250 |       1237 |       fastapi.openapi.utils
import time:       232 |        232 |         starlette.middleware.base
import time:       825 |        825 |             html.entities
import time:       252 |       1077 |           html
import time:       152 |       1228 |         starlette.middleware.errors
import time:       143 |        143 |         starlette.middleware.exceptions
import time:       232 |       1835 |       starlette.applications
import time:       604 |     256313 |     fastapi.applications
import time:        82 |         82 |     fastapi.requests
import time:       236 |     257542 |   fastapi
import time:       119 |        119 |     starlette.middleware.cors
import time:        71 |        190 |   fastapi.middleware.cors
import time:        70 |         70 |     app.api
import time:        64 |         64 |     app.api.routes
import time:       171 |        171 |             sqlalchemy.util.preloaded
import time:        64 |         64 |                 sqlalchemy.cyextension
import time:       296 |        296 |                 sqlalchemy.cyextension.collections
import time:       177 |        177 |                 sqlalchemy.cyextension.immutabledict
import time:       146 |        146 |                 sqlalchemy.cyextension.processors
import time:       133 |        133 |                 sqlalchemy.cyextension.resultproxy
import time:        47 |         47 |                         _wmi
import time:       603 |        649 |                       platform
import time:       704 |       1353 |                     sqlalchemy.util.compat
import time:       812 |       2164 |                   sqlalchemy.exc
import time:       184 |       2348 |                 sqlalchemy.cyextension.util
import time:       214 |       3377 |               sqlalchemy.util._has_cy
import time:       599 |        599 |               sqlalchemy.util.typing
